rowid,sku,producto,proveedor,marca,precio_sin_iva,pmp_sin_iva,ganancia_moneda_nacional,margen_porcentaje,stock_total
85001,8213187,"GUITARRA ELECTROACUSTICA IBANEZ NEGRA.",VEERKAMP,IBANEZ,6605.40517000,5581.02800000,1024.37717000,15.508165564960,4
22163,ISSEVA2EBK,"GUITARRA LA SEVILLANA E/ACUSTICA A-2E BK",GONHER,"LA SEVILLANA",3082.45690000,2055.83010000,1026.62680000,33.305471359551,1
89312,0193970706,"AM PRO II J BASS RW BLK FENDER",FENDER,FENDER,27532.96552000,26506.26000000,1026.70552000,3.729004488290,1
28256,B07-10S,"BOQUILLA P/ CLARINETE PUNTO DIAMANTE #10S BEECHLER",LEMUS,BEECHLER,4575.73276000,3548.75000000,1026.98276000,22.444115814141,1
89933,VAHERSS200BBX4,"SOPORTE HERCULES P/BAFLE SS-200BB (PAR) (4)",GONHER,HERCULES,8362.18103000,7334.65517000,1027.52586000,12.287773444675,2
76863,EXBT078,"BATERIA PROFESIONAL GRIS RAYADO 5 PZAS ARO COLOR CROMO EXTREME",LEMUS,EXTREME,4989.56897000,3960.00000000,1029.56897000,20.634427065551,2
76588,EXBT062,"BATERIA EXTREME PROFESIONAL ROJO METALICO 5PZAS TERM CROMADO",LEMUS,EXTREME,4989.56897000,3960.00000000,1029.56897000,20.634427065551,3
77300,EXBT063,"BATERIA PROFESIONAL NEGRO 5 PZAS TERMINADO CROMADO EXTREME",LEMUS,EXTREME,4989.56897000,3960.00000000,1029.56897000,20.634427065551,4
89876,ISSCCC6PLUSSTC,"GUITARRA SCHECTER ELECTRICA C-6 PLUS",GONHER,SCHECTER,7892.09483000,6862.05172000,1030.04311000,13.051580501599,1
25576,2370300000,"FENDER RUMBLE 40 (AMP)",FENDER,FENDER,4309.48276000,3278.34000000,1031.14276000,23.927297483840,28
91119,IAEVOEVIVA12P,"BAFLE ELECTROVOICE MOD. EVIVA 12P",AUDYSON,"ELECTRO VOICE",8501.67241000,7470.46000000,1031.21241000,12.129524172056,2
91521,ANSAW350W,"ALTAVOZ DE INTEMPERIE (PAR) YAMAHA",YAMAHA,YAMAHA,4723.54310000,3692.16000000,1031.38310000,21.834946313923,5
89768,0373802511,"SONIC BRONCO BASS MN WPG TCO SQUIER",FENDER,SQUIER,4137.06897000,3103.90000000,1033.16897000,24.973452883963,1
89769,0373802580,"SONIC BRONCO BASS MN WPG AWT SQUIER",FENDER,SQUIER,4137.06897000,3103.90000000,1033.16897000,24.973452883963,2
30815,IABEHPMP550M,"CONSOLA MEZCLADORA BEHRINGER PMP550M",INOVAUDIO,BEHRINGER,4974.13793000,3934.93750000,1039.20043000,20.892071040740,4
90082,GA-4012-KOA-Z-Q,"GUITARRA ACÚSTICA BAMBOO DE 12 CUERDAS ZURDA CON CORTE Y CON ECUALIZADOR DE 3 BANDAS (BRIDGE DOCTOR)",BAMBOO,BAMBOO,4634.76724000,3594.31271788,1040.45452212,22.448905592075,3
87095,980124,"CS-12000 / AMPLIFICADOR BACK STAGE",SENSEY,"BACK STAGE",6116.11207000,5073.72939000,1042.38268000,17.043223997038,4
89687,2330800000,"CHAMPION II 50 120V FENDER (AMP)",FENDER,FENDER,4568.10345000,3521.13000000,1046.97345000,22.919214975309,3
89747,SGB10CEG,"BAJO E/ACUST C/AFINADOR Y FUNDA 4 CUERDAS NATURAL SEGOVIA",LEMUS,SEGOVIA,3219.05172000,2171.75000000,1047.30172000,32.534479439802,1
87092,980108,"MX-4.4 / AMPLIFICADOR DE 4CH 800W RMS BACK STAGE",SENSEY,"BACK STAGE",6574.32759000,5524.43687364,1049.89071636,15.969552809582,22
19897,IPMEIMABR16M,"PLATILLO MEINL  16   MOD. MA-BR-16M",GONHER,MEINL,3290.56034000,2240.26293500,1050.29740500,31.918497048439,2
78255,8202850,"GUITARRA ELECTROACUSTICA IBANEZ ARTWOOD",VEERKAMP,IBANEZ,7940.16379000,6889.15666667,1051.00712333,13.236592482559,3
89472,2910112527,"JS12 DK, AH FB, 24 FR, WHT JACKSON",FENDER,JACKSON,3878.44828000,2826.30000000,1052.14828000,27.128072982837,3
90822,"PL-PRO C","FURMAN PL-PRO C ACONDICIONADOR DE CORRIENTE ELÉCTRICA CON LUCES Y VOLTÍMETRO ANÁLOGO",REPRESENTACIONES,FURMAN,8318.81034000,7266.00000000,1052.81034000,12.655780057128,3
85004,8202839,"GUITARRA ELECTROACUSTICA IBANEZ NEGRO TRANSPARENTE SOMBREADO",VEERKAMP,IBANEZ,8501.77586000,7448.90000000,1052.87586000,12.384187460807,1
91069,982754,"VA-210A ACTIVA DSP CAJA PARA ARREGLO LINEAL 2X10 ELIPSIS",SENSEY,ELIPSIS,17869.33621000,16813.79120000,1055.54501000,5.907018579735,2
88684,2910122576,"GUITARRA ELÉCTRICA JACKSON JS SERIES DINKY JS12 SNOW WHITE",FENDER,JACKSON,3878.44828000,2820.70200000,1057.74628000,27.272409057367,10
88886,SGC12NT-LH,"GUITARRA ELECTROACÚSTICA TEXANA ZURDA SEGOVIA SGC12NT-LH NATURAL 12 CUERDAS",LEMUS,SEGOVIA,3250.86207000,2193.00000000,1057.86207000,32.540970586304,1
90204,1605,"E-LP-SET-NECK-CHERRY-SUNBURTS GUITARRA ELECTRICA E-LP SET NECK SANDARD MCCARTNEY",ENTRERPRICE,MCCARTNEY,3637.56034000,2576.42666667,1061.13367333,29.171575840581,1
88219,GL111PAQBS-I,"PAQUETE GUITARRA GILMORE",LEMUS,GILMORE,3016.37931000,1955.00000000,1061.37931000,35.187196334403,3
90234,8213141,"GUITARRA ELECTROACUSTICA IBANEZ ''ALTSTAR'' NEGRO METALICO",VEERKAMP,IBANEZ,8138.02586000,7076.46000000,1061.56586000,13.044513230387,1
79340,JSBS1455RB,"TAROLA STAGE CUSTOM BIRCH 14 YAMAHA",YAMAHA,YAMAHA,3543.67241000,2481.60000000,1062.07241000,29.970953494542,1
77825,ISSCCDEMON6FRC,"GUITARRA SCHECTER ELECT. DEMON-6 FR CRB CRIMSON RED BURST",GONHER,SCHECTER,11078.38793000,10015.98278000,1062.40515000,9.589889401896,2
18329,IPHEAHTB100WBM,"BONGO HEADLINER MOD. HTB100WB-M",GONHER,HEADLINER,3243.56897000,2176.19828000,1067.37069000,32.907291316207,1
88879,DDJ-FLX4,"CONTROLADOR ENTRY (2 CANALES) REKORDBOX Y SERATO DJ LITE PIONEER",MODULARY,PIONEER,5862.52586000,4793.96546000,1068.56040000,18.226962669637,6
88969,2311400000,"AMPLIFICADOR PARA GUITARRA FENDER MUSTANG LT40S 40W (AMP)",FENDER,FENDER,4309.48276000,3239.75000000,1069.73276000,24.822764576972,8
88536,8202036,"GUITARRA ELECTRICA IBANEZ ''ARTCORE'' AF75G-BKF NEGRO MATE",VEERKAMP,IBANEZ,8279.30172000,7207.50000000,1071.80172000,12.945556959362,1
88686,2919004576,"BAJO ELÉCTRICO JACKSON JS SERIES SPECTRA BASS JS2 SNOW WHITE",FENDER,JACKSON,3878.44828000,2805.65000000,1072.79828000,27.660502411031,1
91520,ANSAW350,"ALTAVOZ DE INTEMPERIE (PAR) YAMAHA",YAMAHA,YAMAHA,4768.54310000,3692.16000000,1076.38310000,22.572577775380,6
89793,CVE-12-NA,"CERWIN VEGA CVE-12-NA Altavoz profesional",REPRESENTACIONES,"CERWIN VEGA",8852.17241000,7775.00000000,1077.17241000,12.168452670252,2
91728,2711200535,"GUITARRA GRESTCH JD DREAD WPG RXB",FENDER,GRETSCH,3792.24000000,2711.53000000,1080.71000000,28.497932620298,1
82431,IABEHPK115A,"BAFLE BEHRINGER C/PODER MOD. PK115A",INOVAUDIO,BEHRINGER,4784.48276000,3702.12666667,1082.35609333,22.622217439655,6
87707,980142,"HCF-PRO-10 Amplificador de potencia 1000 W RMS",SENSEY,"BACK STAGE",6672.60345000,5587.66934000,1084.93411000,16.259532251988,2
25218,0145102580,"GUIT FENDER MX STD TELE MN AWT NO BAG",FENDER,FENDER,8309.19828000,7219.91000000,1089.28828000,13.109426966280,1
83147,ISWASEACT42SNAT,"GUITARRA WASHBURN E/ACUSTICA EACT42S",GONHER,WASHBURN,8248.25862000,7157.75000000,1090.50862000,13.221076959878,1
63659,1100460,"ACORD. HOHNER COMPADRE DIAT.SOL-DO-FA NEGRO C/F",VEERKAMP,HOHNER,14224.20690000,13129.99000000,1094.21690000,7.692639088370,1
63663,1100465,"ACORD. HOHNER COMPADRE DIAT.FA-SIB-MIB ROJO MOD. A48441",VEERKAMP,HOHNER,14224.20690000,13129.99000000,1094.21690000,7.692639088370,1
84972,IPGRTBH5512BK,"TAROLA GRETSCH P/BATERIA BH-5512-BK",GONHER,GRETSCH,3431.40000000,2334.80172000,1096.59828000,31.957751355132,1
82025,IASENXSW2835SEB,"MICROFONO SENNHEISER INALAMB. XSW2-835",AUDYSON,SENNHEISER,8033.51724000,6935.75862000,1097.75862000,13.664732236263,2
87939,ICNUXMIGHTYSPA,"COMBO NUX P/GUITARRA MOD. MIGHTY SPACE",GONHER,NUX,8424.56034000,7326.25000000,1098.31034000,13.037004848611,1
82833,IPMEICC16STK,"PLATILLO MEINL 16 MOD. CC-16STK",GONHER,MEINL,7210.99138000,6112.35000000,1098.64138000,15.235649609111,1
91545,ISMASHDLS4MSBRT,"BAJO MARS ELÉCTRICO MOD. HEADLESS 4 MS",GONHER,MARS,6268.48276000,5169.19828000,1099.28448000,17.536691446528,1
86324,IANUXMG30,"PROCESADOR NUX P/GUITARRA MOD. MG-30",GONHER,NUX,5377.50000000,4274.52428571,1102.97571429,20.510938434031,14
87964,IAFISPROTRP302,"CONTROLADOR FISHMAN MOD. PRO-TRP-302",GONHER,FISHMAN,7836.56897000,6730.81896500,1105.75000500,14.110129180679,2
87094,980123,"CS-8000 / AMPLIFICADOR BACK STAGE",SENSEY,"BACK STAGE",4954.41379000,3848.27400000,1106.13979000,22.326350540858,4
60673,GTRBX174DBM,"BAJO ELEC. YAMAHA 4 CDAS AZUL",YAMAHA,YAMAHA,4576.81034000,3469.84000000,1106.97034000,24.186502340405,2
75852,BYFL212,"FLAUTA TRANSVERSAL YAMAHA",YAMAHA,YAMAHA,8616.49138000,7499.20000000,1117.29138000,12.966894884772,1
87895,CDBR15,"ALTAVOZ ACTIVO 15 100W",YAMAHA,YAMAHA,10599.07759000,9480.96000000,1118.11759000,10.549197140088,1
81075,IPHEAMC82BVSB,"CONGA HEADLINER JGO  MOD. MC-82 (BURST)",GONHER,HEADLINER,8601.86207000,7483.70690000,1118.15517000,12.998989764085,3
60667,GERG121GPIIMR02,"PAQ. GUIT. ELEC. YAMAHA ROJO",YAMAHA,YAMAHA,5734.07759000,4615.50000000,1118.57759000,19.507541927070,2
88877,GEG112GPIIMR/02,"PAQUETE GUITARRA ELÉCTRICA YAMAHA GEG112GPIIMR/02 TIPO STRATOCASTER ROJA",YAMAHA,YAMAHA,5734.07759000,4615.50000000,1118.57759000,19.507541927070,1
90874,IASENXSWIEMSETSDA,"SISTEMA SENNHEISER MOD. XSW IEM SET",AUDYSON,SENNHEISER,10161.90517000,9036.00000000,1125.90517000,11.079666176416,1
